state,date,rain_in_mm
ANDAMAN & NICOBAR ISLANDS,01-01-1997,9.5
ANDAMAN & NICOBAR ISLANDS,01-02-1997,0
ANDAMAN & NICOBAR ISLANDS,01-03-1997,0.2
ANDAMAN & NICOBAR ISLANDS,01-04-1997,15.6
ANDAMAN & NICOBAR ISLANDS,01-05-1997,281.1
ANDAMAN & NICOBAR ISLANDS,01-06-1997,199.5
ANDAMAN & NICOBAR ISLANDS,01-07-1997,918.5
ANDAMAN & NICOBAR ISLANDS,01-08-1997,430.6
ANDAMAN & NICOBAR ISLANDS,01-09-1997,440.2
ANDAMAN & NICOBAR ISLANDS,01-10-1997,128.7
ANDAMAN & NICOBAR ISLANDS,01-11-1997,292.8
ANDAMAN & NICOBAR ISLANDS,01-12-1997,38.4
ANDAMAN & NICOBAR ISLANDS,01-01-1998,26.2
ANDAMAN & NICOBAR ISLANDS,01-02-1998,68.5
ANDAMAN & NICOBAR ISLANDS,01-03-1998,158.5
ANDAMAN & NICOBAR ISLANDS,01-04-1998,94.7
ANDAMAN & NICOBAR ISLANDS,01-05-1998,212.6
ANDAMAN & NICOBAR ISLANDS,01-06-1998,548
ANDAMAN & NICOBAR ISLANDS,01-07-1998,395.2
ANDAMAN & NICOBAR ISLANDS,01-08-1998,237
ANDAMAN & NICOBAR ISLANDS,01-09-1998,403.5
ANDAMAN & NICOBAR ISLANDS,01-10-1998,58.5
ANDAMAN & NICOBAR ISLANDS,01-11-1998,45.9
ANDAMAN & NICOBAR ISLANDS,01-12-1998,26.3
ANDAMAN & NICOBAR ISLANDS,01-01-1999,18.2
ANDAMAN & NICOBAR ISLANDS,01-02-1999,40.7
ANDAMAN & NICOBAR ISLANDS,01-03-1999,91.8
ANDAMAN & NICOBAR ISLANDS,01-04-1999,131.9
ANDAMAN & NICOBAR ISLANDS,01-05-1999,241.8
ANDAMAN & NICOBAR ISLANDS,01-06-1999,569.9
ANDAMAN & NICOBAR ISLANDS,01-07-1999,511.2
ANDAMAN & NICOBAR ISLANDS,01-08-1999,315.5
ANDAMAN & NICOBAR ISLANDS,01-09-1999,366.8
ANDAMAN & NICOBAR ISLANDS,01-10-1999,36.4
ANDAMAN & NICOBAR ISLANDS,01-11-1999,12.6
ANDAMAN & NICOBAR ISLANDS,01-12-1999,35.4
ANDAMAN & NICOBAR ISLANDS,01-01-2000,11.3
ANDAMAN & NICOBAR ISLANDS,01-02-2000,23.7
ANDAMAN & NICOBAR ISLANDS,01-03-2000,134.4
ANDAMAN & NICOBAR ISLANDS,01-04-2000,112
ANDAMAN & NICOBAR ISLANDS,01-05-2000,255
ANDAMAN & NICOBAR ISLANDS,01-06-2000,334
ANDAMAN & NICOBAR ISLANDS,01-07-2000,598.5
ANDAMAN & NICOBAR ISLANDS,01-08-2000,273.9
ANDAMAN & NICOBAR ISLANDS,01-09-2000,361.6
ANDAMAN & NICOBAR ISLANDS,01-10-2000,48.6
ANDAMAN & NICOBAR ISLANDS,01-11-2000,17.8
ANDAMAN & NICOBAR ISLANDS,01-12-2000,41.3
ANDAMAN & NICOBAR ISLANDS,01-01-2001,18.9
ANDAMAN & NICOBAR ISLANDS,01-02-2001,31.3
ANDAMAN & NICOBAR ISLANDS,01-03-2001,76.4
ANDAMAN & NICOBAR ISLANDS,01-04-2001,119.5
ANDAMAN & NICOBAR ISLANDS,01-05-2001,166.9
ANDAMAN & NICOBAR ISLANDS,01-06-2001,613.3
ANDAMAN & NICOBAR ISLANDS,01-07-2001,488.1
ANDAMAN & NICOBAR ISLANDS,01-08-2001,479
ANDAMAN & NICOBAR ISLANDS,01-09-2001,443.9
ANDAMAN & NICOBAR ISLANDS,01-10-2001,41.3
ANDAMAN & NICOBAR ISLANDS,01-11-2001,16.3
ANDAMAN & NICOBAR ISLANDS,01-12-2001,56.5
ANDAMAN & NICOBAR ISLANDS,01-01-2002,18.7
ANDAMAN & NICOBAR ISLANDS,01-02-2002,23.6
ANDAMAN & NICOBAR ISLANDS,01-03-2002,44.2
ANDAMAN & NICOBAR ISLANDS,01-04-2002,101.8
ANDAMAN & NICOBAR ISLANDS,01-05-2002,98.2
ANDAMAN & NICOBAR ISLANDS,01-06-2002,219.6
ANDAMAN & NICOBAR ISLANDS,01-07-2002,437.3
ANDAMAN & NICOBAR ISLANDS,01-08-2002,387.3
ANDAMAN & NICOBAR ISLANDS,01-09-2002,244
ANDAMAN & NICOBAR ISLANDS,01-10-2002,27.8
ANDAMAN & NICOBAR ISLANDS,01-11-2002,30.5
ANDAMAN & NICOBAR ISLANDS,01-12-2002,24.9
ANDAMAN & NICOBAR ISLANDS,01-01-2003,17.9
ANDAMAN & NICOBAR ISLANDS,01-02-2003,5.3
ANDAMAN & NICOBAR ISLANDS,01-03-2003,31.9
ANDAMAN & NICOBAR ISLANDS,01-04-2003,77.8
ANDAMAN & NICOBAR ISLANDS,01-05-2003,33
ANDAMAN & NICOBAR ISLANDS,01-06-2003,197.6
ANDAMAN & NICOBAR ISLANDS,01-07-2003,303.4
ANDAMAN & NICOBAR ISLANDS,01-08-2003,479.9
ANDAMAN & NICOBAR ISLANDS,01-09-2003,234.6
ANDAMAN & NICOBAR ISLANDS,01-10-2003,37
ANDAMAN & NICOBAR ISLANDS,01-11-2003,27.4
ANDAMAN & NICOBAR ISLANDS,01-12-2003,58.8
ANDAMAN & NICOBAR ISLANDS,01-01-2004,9.5
ANDAMAN & NICOBAR ISLANDS,01-02-2004,3.7
ANDAMAN & NICOBAR ISLANDS,01-03-2004,1.5
ANDAMAN & NICOBAR ISLANDS,01-04-2004,29.4
ANDAMAN & NICOBAR ISLANDS,01-05-2004,25.2
ANDAMAN & NICOBAR ISLANDS,01-06-2004,230.4
ANDAMAN & NICOBAR ISLANDS,01-07-2004,400.5
ANDAMAN & NICOBAR ISLANDS,01-08-2004,431.6
ANDAMAN & NICOBAR ISLANDS,01-09-2004,199.6
ANDAMAN & NICOBAR ISLANDS,01-10-2004,54.3
ANDAMAN & NICOBAR ISLANDS,01-11-2004,39
ANDAMAN & NICOBAR ISLANDS,01-12-2004,36.6
ANDAMAN & NICOBAR ISLANDS,01-01-2005,10.5
ANDAMAN & NICOBAR ISLANDS,01-02-2005,1.1
ANDAMAN & NICOBAR ISLANDS,01-03-2005,2.9
ANDAMAN & NICOBAR ISLANDS,01-04-2005,29.3
ANDAMAN & NICOBAR ISLANDS,01-05-2005,42.2
ANDAMAN & NICOBAR ISLANDS,01-06-2005,211
ANDAMAN & NICOBAR ISLANDS,01-07-2005,463.9
ANDAMAN & NICOBAR ISLANDS,01-08-2005,287.6
ANDAMAN & NICOBAR ISLANDS,01-09-2005,185.8
ANDAMAN & NICOBAR ISLANDS,01-10-2005,27.8
ANDAMAN & NICOBAR ISLANDS,01-11-2005,11
ANDAMAN & NICOBAR ISLANDS,01-12-2005,30.6
ANDAMAN & NICOBAR ISLANDS,01-01-2006,6
ANDAMAN & NICOBAR ISLANDS,01-02-2006,0.4
ANDAMAN & NICOBAR ISLANDS,01-03-2006,0.6
ANDAMAN & NICOBAR ISLANDS,01-04-2006,13.3
ANDAMAN & NICOBAR ISLANDS,01-05-2006,15.8
ANDAMAN & NICOBAR ISLANDS,01-06-2006,69.5
ANDAMAN & NICOBAR ISLANDS,01-07-2006,291.3
ANDAMAN & NICOBAR ISLANDS,01-08-2006,41.5
ANDAMAN & NICOBAR ISLANDS,01-09-2006,32.1
ANDAMAN & NICOBAR ISLANDS,01-10-2006,8.1
ANDAMAN & NICOBAR ISLANDS,01-11-2006,4.1
ANDAMAN & NICOBAR ISLANDS,01-12-2006,10.8
ANDAMAN & NICOBAR ISLANDS,01-01-2007,3.8
ANDAMAN & NICOBAR ISLANDS,01-02-2007,0.7
ANDAMAN & NICOBAR ISLANDS,01-03-2007,2.4
ANDAMAN & NICOBAR ISLANDS,01-04-2007,19.2
ANDAMAN & NICOBAR ISLANDS,01-05-2007,22.8
ANDAMAN & NICOBAR ISLANDS,01-06-2007,79.9
ANDAMAN & NICOBAR ISLANDS,01-07-2007,235.7
ANDAMAN & NICOBAR ISLANDS,01-08-2007,34.6
ANDAMAN & NICOBAR ISLANDS,01-09-2007,24
ANDAMAN & NICOBAR ISLANDS,01-10-2007,7.5
ANDAMAN & NICOBAR ISLANDS,01-11-2007,3.2
ANDAMAN & NICOBAR ISLANDS,01-12-2007,11.4
ANDAMAN & NICOBAR ISLANDS,01-01-2008,42.1
ANDAMAN & NICOBAR ISLANDS,01-02-2008,14.9
ANDAMAN & NICOBAR ISLANDS,01-03-2008,31.2
ANDAMAN & NICOBAR ISLANDS,01-04-2008,90.5
ANDAMAN & NICOBAR ISLANDS,01-05-2008,56.1
ANDAMAN & NICOBAR ISLANDS,01-06-2008,129.8
ANDAMAN & NICOBAR ISLANDS,01-07-2008,290
ANDAMAN & NICOBAR ISLANDS,01-08-2008,73.3
ANDAMAN & NICOBAR ISLANDS,01-09-2008,36.4
ANDAMAN & NICOBAR ISLANDS,01-10-2008,9.9
ANDAMAN & NICOBAR ISLANDS,01-11-2008,10.8
ANDAMAN & NICOBAR ISLANDS,01-12-2008,18.5
ANDAMAN & NICOBAR ISLANDS,01-01-2009,6.6
ANDAMAN & NICOBAR ISLANDS,01-02-2009,2.2
ANDAMAN & NICOBAR ISLANDS,01-03-2009,14.6
ANDAMAN & NICOBAR ISLANDS,01-04-2009,35.3
ANDAMAN & NICOBAR ISLANDS,01-05-2009,38
ANDAMAN & NICOBAR ISLANDS,01-06-2009,60.2
ANDAMAN & NICOBAR ISLANDS,01-07-2009,133.6
ANDAMAN & NICOBAR ISLANDS,01-08-2009,226.8
ANDAMAN & NICOBAR ISLANDS,01-09-2009,36.9
ANDAMAN & NICOBAR ISLANDS,01-10-2009,53.7
ANDAMAN & NICOBAR ISLANDS,01-11-2009,13.4
ANDAMAN & NICOBAR ISLANDS,01-12-2009,47.3
ANDAMAN & NICOBAR ISLANDS,01-01-2010,14.5
ANDAMAN & NICOBAR ISLANDS,01-02-2010,5.4
ANDAMAN & NICOBAR ISLANDS,01-03-2010,8.9
ANDAMAN & NICOBAR ISLANDS,01-04-2010,35.8
ANDAMAN & NICOBAR ISLANDS,01-05-2010,30.4
ANDAMAN & NICOBAR ISLANDS,01-06-2010,55.3
ANDAMAN & NICOBAR ISLANDS,01-07-2010,144.1
ANDAMAN & NICOBAR ISLANDS,01-08-2010,261.5
ANDAMAN & NICOBAR ISLANDS,01-09-2010,24.3
ANDAMAN & NICOBAR ISLANDS,01-10-2010,39
ANDAMAN & NICOBAR ISLANDS,01-11-2010,28.8
ANDAMAN & NICOBAR ISLANDS,01-12-2010,42.1
ANDAMAN & NICOBAR ISLANDS,01-01-2011,50.9
ANDAMAN & NICOBAR ISLANDS,01-02-2011,58.5
ANDAMAN & NICOBAR ISLANDS,01-03-2011,60.4
ANDAMAN & NICOBAR ISLANDS,01-04-2011,97.4
ANDAMAN & NICOBAR ISLANDS,01-05-2011,66.1
ANDAMAN & NICOBAR ISLANDS,01-06-2011,92.3
ANDAMAN & NICOBAR ISLANDS,01-07-2011,198.7
ANDAMAN & NICOBAR ISLANDS,01-08-2011,476.1
ANDAMAN & NICOBAR ISLANDS,01-09-2011,113.8
ANDAMAN & NICOBAR ISLANDS,01-10-2011,44.4
ANDAMAN & NICOBAR ISLANDS,01-11-2011,87.4
ANDAMAN & NICOBAR ISLANDS,01-12-2011,108.5
ANDAMAN & NICOBAR ISLANDS,01-01-2012,68.4
ANDAMAN & NICOBAR ISLANDS,01-02-2012,55.6
ANDAMAN & NICOBAR ISLANDS,01-03-2012,164.1
ANDAMAN & NICOBAR ISLANDS,01-04-2012,144.5
ANDAMAN & NICOBAR ISLANDS,01-05-2012,89.1
ANDAMAN & NICOBAR ISLANDS,01-06-2012,81.2
ANDAMAN & NICOBAR ISLANDS,01-07-2012,126.6
ANDAMAN & NICOBAR ISLANDS,01-08-2012,270.2
ANDAMAN & NICOBAR ISLANDS,01-09-2012,75.4
ANDAMAN & NICOBAR ISLANDS,01-10-2012,77.3
ANDAMAN & NICOBAR ISLANDS,01-11-2012,84.3
ANDAMAN & NICOBAR ISLANDS,01-12-2012,59.2
ANDAMAN & NICOBAR ISLANDS,01-01-2013,1.1
ANDAMAN & NICOBAR ISLANDS,01-02-2013,0.2
ANDAMAN & NICOBAR ISLANDS,01-03-2013,5.5
ANDAMAN & NICOBAR ISLANDS,01-04-2013,10.6
ANDAMAN & NICOBAR ISLANDS,01-05-2013,20.3
ANDAMAN & NICOBAR ISLANDS,01-06-2013,65.9
ANDAMAN & NICOBAR ISLANDS,01-07-2013,56.4
ANDAMAN & NICOBAR ISLANDS,01-08-2013,103.9
ANDAMAN & NICOBAR ISLANDS,01-09-2013,20.6
ANDAMAN & NICOBAR ISLANDS,01-10-2013,51.5
ANDAMAN & NICOBAR ISLANDS,01-11-2013,3.6
ANDAMAN & NICOBAR ISLANDS,01-12-2013,5.6
ANDAMAN & NICOBAR ISLANDS,01-01-2014,0.8
ANDAMAN & NICOBAR ISLANDS,01-02-2014,0.2
ANDAMAN & NICOBAR ISLANDS,01-03-2014,1.7
ANDAMAN & NICOBAR ISLANDS,01-04-2014,10.2
ANDAMAN & NICOBAR ISLANDS,01-05-2014,14.2
ANDAMAN & NICOBAR ISLANDS,01-06-2014,52.1
ANDAMAN & NICOBAR ISLANDS,01-07-2014,143.2
ANDAMAN & NICOBAR ISLANDS,01-08-2014,196.6
ANDAMAN & NICOBAR ISLANDS,01-09-2014,78.7
ANDAMAN & NICOBAR ISLANDS,01-10-2014,45.8
ANDAMAN & NICOBAR ISLANDS,01-11-2014,11.8
ANDAMAN & NICOBAR ISLANDS,01-12-2014,18.5
ANDAMAN & NICOBAR ISLANDS,01-01-2015,3
ANDAMAN & NICOBAR ISLANDS,01-02-2015,0
ANDAMAN & NICOBAR ISLANDS,01-03-2015,0.7
ANDAMAN & NICOBAR ISLANDS,01-04-2015,4
ANDAMAN & NICOBAR ISLANDS,01-05-2015,1.7
ANDAMAN & NICOBAR ISLANDS,01-06-2015,89.7
ANDAMAN & NICOBAR ISLANDS,01-07-2015,345.9
ANDAMAN & NICOBAR ISLANDS,01-08-2015,334.8
ANDAMAN & NICOBAR ISLANDS,01-09-2015,97.2
ANDAMAN & NICOBAR ISLANDS,01-10-2015,36.1
ANDAMAN & NICOBAR ISLANDS,01-11-2015,51.4
ANDAMAN & NICOBAR ISLANDS,01-12-2015,93.9
ARUNACHAL PRADESH,01-01-1997,4
ARUNACHAL PRADESH,01-02-1997,0
ARUNACHAL PRADESH,01-03-1997,0.6
ARUNACHAL PRADESH,01-04-1997,7.4
ARUNACHAL PRADESH,01-05-1997,3.3
ARUNACHAL PRADESH,01-06-1997,95.1
ARUNACHAL PRADESH,01-07-1997,449.1
ARUNACHAL PRADESH,01-08-1997,358.9
ARUNACHAL PRADESH,01-09-1997,198
ARUNACHAL PRADESH,01-10-1997,61.6
ARUNACHAL PRADESH,01-11-1997,76.4
ARUNACHAL PRADESH,01-12-1997,102.6
ARUNACHAL PRADESH,01-01-1998,0.7
ARUNACHAL PRADESH,01-02-1998,0
ARUNACHAL PRADESH,01-03-1998,0.2
ARUNACHAL PRADESH,01-04-1998,3.3
ARUNACHAL PRADESH,01-05-1998,3.6
ARUNACHAL PRADESH,01-06-1998,355.3
ARUNACHAL PRADESH,01-07-1998,241.9
ARUNACHAL PRADESH,01-08-1998,358
ARUNACHAL PRADESH,01-09-1998,96.1
ARUNACHAL PRADESH,01-10-1998,8.1
ARUNACHAL PRADESH,01-11-1998,0.9
ARUNACHAL PRADESH,01-12-1998,0.9
ARUNACHAL PRADESH,01-01-1999,0.8
ARUNACHAL PRADESH,01-02-1999,0
ARUNACHAL PRADESH,01-03-1999,0.6
ARUNACHAL PRADESH,01-04-1999,0.3
ARUNACHAL PRADESH,01-05-1999,3
ARUNACHAL PRADESH,01-06-1999,189.8
ARUNACHAL PRADESH,01-07-1999,137.4
ARUNACHAL PRADESH,01-08-1999,95.7
ARUNACHAL PRADESH,01-09-1999,170.7
ARUNACHAL PRADESH,01-10-1999,1.9
ARUNACHAL PRADESH,01-11-1999,0
ARUNACHAL PRADESH,01-12-1999,0
ARUNACHAL PRADESH,01-01-2000,2.6
ARUNACHAL PRADESH,01-02-2000,0
ARUNACHAL PRADESH,01-03-2000,0.8
ARUNACHAL PRADESH,01-04-2000,1.8
ARUNACHAL PRADESH,01-05-2000,0.2
ARUNACHAL PRADESH,01-06-2000,757.9
ARUNACHAL PRADESH,01-07-2000,1072.6
ARUNACHAL PRADESH,01-08-2000,847.6
ARUNACHAL PRADESH,01-09-2000,215.2
ARUNACHAL PRADESH,01-10-2000,21.8
ARUNACHAL PRADESH,01-11-2000,47.1
ARUNACHAL PRADESH,01-12-2000,59.6
ARUNACHAL PRADESH,01-01-2001,3.3
ARUNACHAL PRADESH,01-02-2001,0
ARUNACHAL PRADESH,01-03-2001,2.4
ARUNACHAL PRADESH,01-04-2001,15.3
ARUNACHAL PRADESH,01-05-2001,6.5
ARUNACHAL PRADESH,01-06-2001,180.2
ARUNACHAL PRADESH,01-07-2001,239.9
ARUNACHAL PRADESH,01-08-2001,295.5
ARUNACHAL PRADESH,01-09-2001,91.7
ARUNACHAL PRADESH,01-10-2001,57.7
ARUNACHAL PRADESH,01-11-2001,68.8
ARUNACHAL PRADESH,01-12-2001,39.6
ARUNACHAL PRADESH,01-01-2002,7.7
ARUNACHAL PRADESH,01-02-2002,1.1
ARUNACHAL PRADESH,01-03-2002,8.3
ARUNACHAL PRADESH,01-04-2002,14.3
ARUNACHAL PRADESH,01-05-2002,8
ARUNACHAL PRADESH,01-06-2002,75.8
ARUNACHAL PRADESH,01-07-2002,131
ARUNACHAL PRADESH,01-08-2002,121.1
ARUNACHAL PRADESH,01-09-2002,163.4
ARUNACHAL PRADESH,01-10-2002,106.8
ARUNACHAL PRADESH,01-11-2002,98.6
ARUNACHAL PRADESH,01-12-2002,54.3
ARUNACHAL PRADESH,01-01-2003,16.3
ARUNACHAL PRADESH,01-02-2003,0
ARUNACHAL PRADESH,01-03-2003,2.5
ARUNACHAL PRADESH,01-04-2003,18.4
ARUNACHAL PRADESH,01-05-2003,8.4
ARUNACHAL PRADESH,01-06-2003,108
ARUNACHAL PRADESH,01-07-2003,248.4
ARUNACHAL PRADESH,01-08-2003,265.8
ARUNACHAL PRADESH,01-09-2003,145.7
ARUNACHAL PRADESH,01-10-2003,77.4
ARUNACHAL PRADESH,01-11-2003,69.9
ARUNACHAL PRADESH,01-12-2003,78.5
ARUNACHAL PRADESH,01-01-2004,6.3
ARUNACHAL PRADESH,01-02-2004,0.1
ARUNACHAL PRADESH,01-03-2004,2.2
ARUNACHAL PRADESH,01-04-2004,45.7
ARUNACHAL PRADESH,01-05-2004,7.2
ARUNACHAL PRADESH,01-06-2004,153.8
ARUNACHAL PRADESH,01-07-2004,384.6
ARUNACHAL PRADESH,01-08-2004,414.7
ARUNACHAL PRADESH,01-09-2004,167.5
ARUNACHAL PRADESH,01-10-2004,30.2
ARUNACHAL PRADESH,01-11-2004,51.4
ARUNACHAL PRADESH,01-12-2004,53.5
ARUNACHAL PRADESH,01-01-2005,15.1
ARUNACHAL PRADESH,01-02-2005,5.6
ARUNACHAL PRADESH,01-03-2005,19.7
ARUNACHAL PRADESH,01-04-2005,62.6
ARUNACHAL PRADESH,01-05-2005,25.2
ARUNACHAL PRADESH,01-06-2005,63.1
ARUNACHAL PRADESH,01-07-2005,156
ARUNACHAL PRADESH,01-08-2005,128.1
ARUNACHAL PRADESH,01-09-2005,315.5
ARUNACHAL PRADESH,01-10-2005,83.6
ARUNACHAL PRADESH,01-11-2005,51.7
ARUNACHAL PRADESH,01-12-2005,45.7
ARUNACHAL PRADESH,01-01-2006,22.6
ARUNACHAL PRADESH,01-02-2006,0.9
ARUNACHAL PRADESH,01-03-2006,20.2
ARUNACHAL PRADESH,01-04-2006,43.4
ARUNACHAL PRADESH,01-05-2006,21.3
ARUNACHAL PRADESH,01-06-2006,85.5
ARUNACHAL PRADESH,01-07-2006,156.7
ARUNACHAL PRADESH,01-08-2006,154.5
ARUNACHAL PRADESH,01-09-2006,169.1
ARUNACHAL PRADESH,01-10-2006,87.9
ARUNACHAL PRADESH,01-11-2006,46.9
ARUNACHAL PRADESH,01-12-2006,46.9
ARUNACHAL PRADESH,01-01-2007,16.5
ARUNACHAL PRADESH,01-02-2007,1.4
ARUNACHAL PRADESH,01-03-2007,16.9
ARUNACHAL PRADESH,01-04-2007,33.6
ARUNACHAL PRADESH,01-05-2007,36.2
ARUNACHAL PRADESH,01-06-2007,73.7
ARUNACHAL PRADESH,01-07-2007,40.8
ARUNACHAL PRADESH,01-08-2007,80.7
ARUNACHAL PRADESH,01-09-2007,207.4
ARUNACHAL PRADESH,01-10-2007,103.8
ARUNACHAL PRADESH,01-11-2007,145.3
ARUNACHAL PRADESH,01-12-2007,78.8
ARUNACHAL PRADESH,01-01-2008,7.7
ARUNACHAL PRADESH,01-02-2008,0.2
ARUNACHAL PRADESH,01-03-2008,2.3
ARUNACHAL PRADESH,01-04-2008,42
ARUNACHAL PRADESH,01-05-2008,49.2
ARUNACHAL PRADESH,01-06-2008,50.4
ARUNACHAL PRADESH,01-07-2008,63.5
ARUNACHAL PRADESH,01-08-2008,56.4
ARUNACHAL PRADESH,01-09-2008,116
ARUNACHAL PRADESH,01-10-2008,169.5
ARUNACHAL PRADESH,01-11-2008,258.1
ARUNACHAL PRADESH,01-12-2008,135.2
ARUNACHAL PRADESH,01-01-2009,0.7
ARUNACHAL PRADESH,01-02-2009,0
ARUNACHAL PRADESH,01-03-2009,14.9
ARUNACHAL PRADESH,01-04-2009,21.5
ARUNACHAL PRADESH,01-05-2009,23.1
ARUNACHAL PRADESH,01-06-2009,818.6
ARUNACHAL PRADESH,01-07-2009,1494.1
ARUNACHAL PRADESH,01-08-2009,1146
ARUNACHAL PRADESH,01-09-2009,117.1
ARUNACHAL PRADESH,01-10-2009,148.5
ARUNACHAL PRADESH,01-11-2009,109.8
ARUNACHAL PRADESH,01-12-2009,59.2
ARUNACHAL PRADESH,01-01-2010,4.3
ARUNACHAL PRADESH,01-02-2010,0
ARUNACHAL PRADESH,01-03-2010,14.8
ARUNACHAL PRADESH,01-04-2010,22.6
ARUNACHAL PRADESH,01-05-2010,17.5
ARUNACHAL PRADESH,01-06-2010,213
ARUNACHAL PRADESH,01-07-2010,272.8
ARUNACHAL PRADESH,01-08-2010,290.1
ARUNACHAL PRADESH,01-09-2010,76.9
ARUNACHAL PRADESH,01-10-2010,85.3
ARUNACHAL PRADESH,01-11-2010,64.6
ARUNACHAL PRADESH,01-12-2010,33.8
ARUNACHAL PRADESH,01-01-2011,4.9
ARUNACHAL PRADESH,01-02-2011,0.1
ARUNACHAL PRADESH,01-03-2011,26.2
ARUNACHAL PRADESH,01-04-2011,26
ARUNACHAL PRADESH,01-05-2011,45.3
ARUNACHAL PRADESH,01-06-2011,178.9
ARUNACHAL PRADESH,01-07-2011,251.7
ARUNACHAL PRADESH,01-08-2011,246.8
ARUNACHAL PRADESH,01-09-2011,108.4
ARUNACHAL PRADESH,01-10-2011,134.4
ARUNACHAL PRADESH,01-11-2011,123.8
ARUNACHAL PRADESH,01-12-2011,33.6
ARUNACHAL PRADESH,01-01-2012,2.1
ARUNACHAL PRADESH,01-02-2012,1.5
ARUNACHAL PRADESH,01-03-2012,36.1
ARUNACHAL PRADESH,01-04-2012,60.6
ARUNACHAL PRADESH,01-05-2012,133.6
ARUNACHAL PRADESH,01-06-2012,544.2
ARUNACHAL PRADESH,01-07-2012,970.5
ARUNACHAL PRADESH,01-08-2012,536
ARUNACHAL PRADESH,01-09-2012,292.2
ARUNACHAL PRADESH,01-10-2012,288.9
ARUNACHAL PRADESH,01-11-2012,298.4
ARUNACHAL PRADESH,01-12-2012,88.4
ARUNACHAL PRADESH,01-01-2013,2.2
ARUNACHAL PRADESH,01-02-2013,0.1
ARUNACHAL PRADESH,01-03-2013,4.9
ARUNACHAL PRADESH,01-04-2013,33.8
ARUNACHAL PRADESH,01-05-2013,62.3
ARUNACHAL PRADESH,01-06-2013,307
ARUNACHAL PRADESH,01-07-2013,459.6
ARUNACHAL PRADESH,01-08-2013,216.8
ARUNACHAL PRADESH,01-09-2013,144
ARUNACHAL PRADESH,01-10-2013,213.5
ARUNACHAL PRADESH,01-11-2013,200.8
ARUNACHAL PRADESH,01-12-2013,119.7
ARUNACHAL PRADESH,01-01-2014,0.9
ARUNACHAL PRADESH,01-02-2014,0
ARUNACHAL PRADESH,01-03-2014,0
ARUNACHAL PRADESH,01-04-2014,0
ARUNACHAL PRADESH,01-05-2014,348.9
ARUNACHAL PRADESH,01-06-2014,600
ARUNACHAL PRADESH,01-07-2014,364.5
ARUNACHAL PRADESH,01-08-2014,258.9
ARUNACHAL PRADESH,01-09-2014,337.8
ARUNACHAL PRADESH,01-10-2014,618.6
ARUNACHAL PRADESH,01-11-2014,227.8
ARUNACHAL PRADESH,01-12-2014,89
ARUNACHAL PRADESH,01-01-2015,26.7
ARUNACHAL PRADESH,01-02-2015,78.8
ARUNACHAL PRADESH,01-03-2015,193.6
ARUNACHAL PRADESH,01-04-2015,125
ARUNACHAL PRADESH,01-05-2015,275
ARUNACHAL PRADESH,01-06-2015,839.8
ARUNACHAL PRADESH,01-07-2015,823.8
ARUNACHAL PRADESH,01-08-2015,807
ARUNACHAL PRADESH,01-09-2015,236.8
ARUNACHAL PRADESH,01-10-2015,187.2
ARUNACHAL PRADESH,01-11-2015,20.5
ARUNACHAL PRADESH,01-12-2015,2.5
ASSAM,01-01-1997,11.8
ASSAM,01-02-1997,31.5
ASSAM,01-03-1997,136.8
ASSAM,01-04-1997,185.7
ASSAM,01-05-1997,250.6
ASSAM,01-06-1997,581.2
ASSAM,01-07-1997,604.4
ASSAM,01-08-1997,549.5
ASSAM,01-09-1997,212.3
ASSAM,01-10-1997,190
ASSAM,01-11-1997,48.9
ASSAM,01-12-1997,0.4
ASSAM,01-01-1998,28.1
ASSAM,01-02-1998,31.6
ASSAM,01-03-1998,136.4
ASSAM,01-04-1998,164.6
ASSAM,01-05-1998,352.2
ASSAM,01-06-1998,297.6
ASSAM,01-07-1998,480.6
ASSAM,01-08-1998,367.3
ASSAM,01-09-1998,222.3
ASSAM,01-10-1998,97.9
ASSAM,01-11-1998,46.5
ASSAM,01-12-1998,0.3
ASSAM,01-01-1999,13.6
ASSAM,01-02-1999,37
ASSAM,01-03-1999,125.1
ASSAM,01-04-1999,154.1
ASSAM,01-05-1999,254.2
ASSAM,01-06-1999,653
ASSAM,01-07-1999,854.6
ASSAM,01-08-1999,860.4
ASSAM,01-09-1999,478.9
ASSAM,01-10-1999,209.1
ASSAM,01-11-1999,13.1
ASSAM,01-12-1999,2.1
ASSAM,01-01-2000,52.9
ASSAM,01-02-2000,31
ASSAM,01-03-2000,128.8
ASSAM,01-04-2000,53
ASSAM,01-05-2000,87.1
ASSAM,01-06-2000,154.3
ASSAM,01-07-2000,295.2
ASSAM,01-08-2000,265.7
ASSAM,01-09-2000,296.3
ASSAM,01-10-2000,191.4
ASSAM,01-11-2000,77.1
ASSAM,01-12-2000,0
ASSAM,01-01-2001,31.5
ASSAM,01-02-2001,28.3
ASSAM,01-03-2001,52.4
ASSAM,01-04-2001,43.4
ASSAM,01-05-2001,53.4
ASSAM,01-06-2001,176.4
ASSAM,01-07-2001,277.6
ASSAM,01-08-2001,203.5
ASSAM,01-09-2001,277.3
ASSAM,01-10-2001,139.6
ASSAM,01-11-2001,73.8
ASSAM,01-12-2001,0
ASSAM,01-01-2002,76.3
ASSAM,01-02-2002,20.6
ASSAM,01-03-2002,54.1
ASSAM,01-04-2002,33.8
ASSAM,01-05-2002,45.5
